1,Nguyên tắc vay vốn là gì?,"Khách hàng có tài sản đảm bảo khoản vay, hoàn trả vốn và lãi vay đúng hạn như đã thỏa thuận","Khách hàng phải sử dụng vốn đúng mục đích, có tài sản đảm bảo khoản vay như đã thỏa thuận","Khách hàng vay vốn cam kết chấp hành đúng các thỏa thuận với Agribank, phải đảm bảo sử dụng vốn vay đúng mục đích đã cam kết, hoàn trả nợ gốc, lãi tiền vay, phí đầy đủ đúng hạn theo thỏa thuận cho vay",Tất cả đáp án trên.,3,"Khoản 2 Điều 4 QC 579/QC-HĐTV-TD sửa đổi, bổ sung QC 656/QC-HĐTV-TD"
23,Các tiêu chí cơ bản nào đánh giá khách hàng vay vốn phục vụ nhu cầu đời sống có khả năng tài chính để trả nợ?,Có nguồn thu nhập phù hợp đảm bảo để trả nợ.,"Không có nợ xấu, nợ đã xử lý rủi ro tại Agribank và các Tổ chức tín dụng khác tại thời điểm thẩm định, quyết định cho vay, trừ trường hợp thuộc đối tượng chính sách theo quy định của cấp có thẩm quyền được tiếp tục cho vay.",Cả 1&2; có vốn đối ứng tham gia vào phương án sử dụng vốn theo quy định.,Cả 1 và 2 đều đúng.,3,Khoản 4 Điều 19 QC 656/QC-HĐTV-TD
24,Agribank không được cho vay đối với nhu cầu vốn nào sau đây?,Mua vàng trang sức.,"Để trả nợ trước hạn khoản vay tại tổ chức tín dụng khác, trong trường hợp cho vay để trả nợ trước hạn khoản vay đáp ứng đầy đủ các điều kiện: thời hạn cho vay không vượt quá thời hạn cho vay còn lại của khoản vay cũ; là khoản vay chưa thực hiện cơ cấu lại thời hạn trả nợ.",Kinh doanh pháo nổ,Tất cả đáp án trên.,3,Khoản 6 Điều 20 QC 656/QC-HĐTV-TD
25,Đâu là một trong những căn cứ để xác định thời hạn cho vay phục vụ nhu cầu đời sống?,Phương án sử dụng vốn của khách hàng,Khả năng phát mại tài sản bảo đảm.,Nhu cầu của khách hàng về thời hạn vay vốn.,Tất cả đáp án trên.,1,Điểm b Khoản 1 Điều 10 QC 656/QC-HĐTV-TD
26,Đâu là một trong những căn cứ để xác định thời hạn cho vay phục vụ hoạt động kinh doanh?,Phương án sử dụng vốn của khách hàng.,Khả năng trả nợ của khách hàng.,Nguồn vốn cho vay của Agribank.,Tất cả đáp án trên,4,Điểm a Khoản 1 Điều 10 QC 656/QC-HĐTV-TD
27,Thế nào là Người quan hệ khách hàng?,"Là người thuộc Phòng giao dịch, Phòng khách hàng, Ban Khách hàng.",Có thể là Người quản lý nợ.,Độc lập với Người thẩm định.,Tất cả đáp án trên,4,"Khoản 21, khoản 31 Điều 2; khoản 3 Điều 4 QC 656/QC-HĐTV-TD "
28,Người quan hệ khách hàng không thực hiện nhiệm vụ nào sau đây?,"Tiếp nhận nhu cầu vay vốn, hướng dẫn khách hàng về điều kiện vay vốn, hồ sơ, thủ tục, lãi suất cho vay và chính sách khách hàng của Agribank.","Thu thập thông tin, hồ sơ, tài liệu về khách hàng vay vốn, phương án sử dụng vốn, tài sản bảo đảm.","Thẩm định khoản vay trên cơ sở thông tin, hồ sơ, tài liệu và Báo cáo đề xuất cho vay",Thông tin cho khách hàng biết về quyết định của Agribank.,3,Khoản 1 Điều 45 QC 656/QC-HĐTV-TD
29,Người thẩm định thực hiện nhiệm vụ nào sau đây?,"Kiểm soát và ký tắt từng trang Thỏa thuận cho vay, Hợp đồng bảo đảm tiền vay.",Lập Báo cáo đề xuất cho vay.,"Thẩm định khoản vay trên cơ sở thông tin, hồ sơ, tài liệu và Báo cáo đề xuất cho vay",Tất cả đáp án trên.,3,Khoản 1 Điều 46 QC 656/QC-HĐTV-TD
30,"Nhiệm vụ, trách nhiệm của người thẩm định trong xét duyệt cho vay là gì? ","Thu thập thông tin, hồ sơ khách hàng vay vốn.","Phân tích, đánh giá thông tin, hồ sơ, tài liệu liên quan đến nhu cầu vay vốn.","Kiểm soát nội dung báo cáo đề xuất giải ngân, báo cáo đề xuất cơ cấu lại thời hạn trả nợ, báo cáo đề xuất xử lý nợ (xử lý nợ vay, xử lý tài sản bảo đảm...).","Ghi ý kiến về kết quả thẩm định và đề xuất việc cho vay hay không cho vay; mức cho vay, thời hạn cho vay, biện pháp bảo đảm tiền vay, lãi suất và các nội dung khác có liên quan",4,Điểm b Khoản 1 Điều 46 QC 656/QC-HĐTV-TD
31," Theo quy định hiện hành của Agribank về cho vay, người thẩm định phải độc lập với ai? ",Người quan hệ khách hàng.,Người quản lý khoản nợ có vấn đề.,Người/bộ phận trích lập dự phòng rủi ro.,Tất cả đáp án trên,4,Khoản 3 Điều 4 QC 656/QC-HĐTV-TD
32,Người kiểm soát khoản vay tại Agribank nơi cho vay không thực hiện nhiệm vụ nào sau đây?,"Kiểm soát nội dung báo cáo đề xuất giải ngân, báo cáo đề xuất cơ cấu lại thời hạn trả nợ, báo cáo đề xuất xử lý nợ.","Kiểm soát và ký kiểm soát (ký tắt) từng trang Thỏa thuận cho vay, Hợp đồng bảo đảm tiền vay.","Ký kết Thỏa thuận cho vay, Hợp đồng bảo đảm tiền vay, hồ sơ giải ngân",Tất cả đáp án trên.,3,Điều 49 QC 656/QC-HĐTV-TD
33,"Theo quy định hiện hành của Agribank về cho vay, nơi cho vay nào không có Người giám sát khoản vay vượt thẩm quyền?",Phòng giao dịch,Chi nhánh loại I.,Trụ sở Chính.,Tất cả đáp án trên.,1,Khoản 30 Điều 2 QC 656/QC-HĐTV-TD
34,Thế nào là Người quyết định cho vay?,"Người có thẩm quyền tại Agribank nơi cho vay  quyết định cho vay/không cho vay, ký trên Báo cáo đề xuất cho vay/Báo cáo thẩm (nếu có)",Người có thẩm quyền chấp thuận hay không chấp thuận cho vay đối với các khoản vay vượt thẩm quyền của cấp dưới.,Chỉ Giám đốc Chi nhánh loại I.,Cả 1 và 2 đều đúng.,1,Khoản 24 Điều 2 QC 656/QC-HĐTV-TD
35,Người phê duyệt cho vay là?,"Người có thẩm quyền tại Agribank nơi cho vay chấp thuận hay không chấp thuận cho vay, tổ chức thực hiện các hoạt động trực tiếp cho vay và thu nợ đối với khách hàng.",Người có thẩm quyền phê duyệt/không phê duyệt cho vay đối với các khoản vay vượt thẩm quyền của cấp dưới theo quy định của Agribank từng thời kỳ,Chỉ Giám đốc Chi nhánh loại I.,Cả 1 và 2 đều đúng.,2,Khoản 25 Điều 2 QC 656/QC-HĐTV-TD
36,"Đối với cho vay ngắn hạn, thời gian xem xét và quyết định cho vay tối đa tại Agribank nơi cho vay từ khi nhận đủ hồ sơ là bao nhiêu ngày làm việc?",5,10,15,20,1,Điểm a Khoản 1 Điều 27 QC 656/QC-HĐTV-TD
37,"Đối với cho vay trung hạn, thời gian xem xét và quyết định cho vay tối đa tại Agribank nơi cho vay từ khi nhận đủ hồ sơ là bao nhiêu ngày làm việc?",5,10,15,20,2,Điểm b Khoản 1 Điều 27 QC 656/QC-HĐTV-TD
38,"Đối với cho vay dài hạn, thời gian xem xét và quyết định cho vay tối đa tại Agribank nơi cho vay từ khi nhận đủ hồ sơ là bao nhiêu ngày làm việc?",5,10,15,20,3,Điểm c Khoản 1 Điều 27 QC 656/QC-HĐTV-TD
